row_number;datee;year;month;day;hours;minutes;seconds;date_id
1;2019-12-02T15:31:00.000Z;2019;12;2;15;31;0;25769803777
2;2019-12-10T08:16:00.000Z;2019;12;10;8;16;0;1,37E+11
3;2019-12-10T07:09:00.000Z;2019;12;10;7;9;0;1,55E+11
4;2019-12-10T07:19:00.000Z;2019;12;10;7;19;0;3,01E+11
5;2019-11-28T08:50:00.000Z;2019;11;28;8;50;0;3,09E+11
6;2019-11-30T15:07:00.000Z;2019;11;30;15;7;0;3,26E+11
7;2019-11-26T00:36:00.000Z;2019;11;26;0;36;0;6,53E+11
8;2019-12-10T07:25:00.000Z;2019;12;10;7;25;0;7,13E+11
9;2019-12-02T05:38:00.000Z;2019;12;2;5;38;0;7,99E+11
10;2019-12-04T03:28:00.000Z;2019;12;4;3;28;0;9,28E+11
11;2019-07-03T13:00:00.000Z;2019;7;3;13;0;0;1,60E+12
12;2019-02-28T00:00:00.000Z;2019;2;28;0;0;0;3,32E+12
13;1990-01-01T00:00:00.000Z;1990;1;1;0;0;0;3,45E+12
14;1975-01-01T00:00:00.000Z;1975;1;1;0;0;0;3,47E+12
15;1977-01-01T00:00:00.000Z;1977;1;1;0;0;0;3,48E+12
16;2003-01-01T00:00:00.000Z;2003;1;1;0;0;0;3,55E+12
17;2007-01-01T00:00:00.000Z;2007;1;1;0;0;0;3,56E+12
18;2018-01-01T00:00:00.000Z;2018;1;1;0;0;0;3,57E+12
19;2015-01-01T00:00:00.000Z;2015;1;1;0;0;0;3,59E+12
20;2006-01-01T00:00:00.000Z;2006;1;1;0;0;0;3,66E+12
21;1978-01-01T00:00:00.000Z;1978;1;1;0;0;0;3,68E+12
22;1961-01-01T00:00:00.000Z;1961;1;1;0;0;0;3,70E+12
23;2013-01-01T00:00:00.000Z;2013;1;1;0;0;0;3,71E+12
24;1997-01-01T00:00:00.000Z;1997;1;1;0;0;0;3,90E+12
25;1988-01-01T00:00:00.000Z;1988;1;1;0;0;0;3,90E+12
26;1994-01-01T00:00:00.000Z;1994;1;1;0;0;0;3,92E+12
27;2014-01-01T00:00:00.000Z;2014;1;1;0;0;0;3,97E+12
28;1979-01-01T00:00:00.000Z;1979;1;1;0;0;0;4,09E+12
29;2019-01-01T00:00:00.000Z;2019;1;1;0;0;0;4,14E+12
30;1971-01-01T00:00:00.000Z;1971;1;1;0;0;0;4,15E+12
31;2004-01-01T00:00:00.000Z;2004;1;1;0;0;0;4,20E+12
32;1991-01-01T00:00:00.000Z;1991;1;1;0;0;0;4,21E+12
33;1982-01-01T00:00:00.000Z;1982;1;1;0;0;0;4,24E+12
34;1996-01-01T00:00:00.000Z;1996;1;1;0;0;0;4,34E+12
35;1989-01-01T00:00:00.000Z;1989;1;1;0;0;0;4,34E+12
36;1998-01-01T00:00:00.000Z;1998;1;1;0;0;0;4,39E+12
37;1985-01-01T00:00:00.000Z;1985;1;1;0;0;0;4,46E+12
38;2012-01-01T00:00:00.000Z;2012;1;1;0;0;0;4,52E+12
39;2009-01-01T00:00:00.000Z;2009;1;1;0;0;0;4,65E+12
40;2016-01-01T00:00:00.000Z;2016;1;1;0;0;0;4,70E+12
41;1995-01-01T00:00:00.000Z;1995;1;1;0;0;0;4,72E+12
42;2001-01-01T00:00:00.000Z;2001;1;1;0;0;0;4,86E+12
43;1992-01-01T00:00:00.000Z;1992;1;1;0;0;0;4,90E+12
44;2005-01-01T00:00:00.000Z;2005;1;1;0;0;0;4,93E+12
45;2000-01-01T00:00:00.000Z;2000;1;1;0;0;0;4,96E+12
46;2010-01-01T00:00:00.000Z;2010;1;1;0;0;0;4,97E+12
47;1981-01-01T00:00:00.000Z;1981;1;1;0;0;0;4,97E+12
48;1986-01-01T00:00:00.000Z;1986;1;1;0;0;0;4,98E+12
49;2011-01-01T00:00:00.000Z;2011;1;1;0;0;0;5,00E+12
50;1976-01-01T00:00:00.000Z;1976;1;1;0;0;0;5,03E+12
51;2008-01-01T00:00:00.000Z;2008;1;1;0;0;0;5,03E+12
52;2017-01-01T00:00:00.000Z;2017;1;1;0;0;0;5,04E+12
53;1999-01-01T00:00:00.000Z;1999;1;1;0;0;0;5,06E+12
54;2002-01-01T00:00:00.000Z;2002;1;1;0;0;0;5,09E+12
55;1993-01-01T00:00:00.000Z;1993;1;1;0;0;0;5,15E+12
