row_number;date_bibliography;bibliography_id;db_variation_id;origin;phenotype;replicated;title;publication;databank_id;date_id
1;2009-01-01T00:00:00.000Z;18852674;rs869025537;Not available;Not available;Not available;Histopathologic findings in ascending aortas from individuals with Loeys-Dietz syndrome (LDS).;The American journal of surgical pathology;4;4,65E+12
2;2009-01-01T00:00:00.000Z;19035361;rs397516862;Not available;Not available;Not available;Diagnostic yield, interpretation, and clinical utility of mutation screening of sarcomere encoding genes in Danish hypertrophic cardiomyopathy patients and relatives.;Human mutation;4;4,65E+12
3;2009-01-01T00:00:00.000Z;19035361;rs45578741;Not available;Not available;Not available;Diagnostic yield, interpretation, and clinical utility of mutation screening of sarcomere encoding genes in Danish hypertrophic cardiomyopathy patients and relatives.;Human mutation;4;4,65E+12
4;2009-01-01T00:00:00.000Z;19035361;rs104894503;Not available;Not available;Not available;Diagnostic yield, interpretation, and clinical utility of mutation screening of sarcomere encoding genes in Danish hypertrophic cardiomyopathy patients and relatives.;Human mutation;4;4,65E+12
5;2009-01-01T00:00:00.000Z;19035361;rs104894724;Not available;Not available;Not available;Diagnostic yield, interpretation, and clinical utility of mutation screening of sarcomere encoding genes in Danish hypertrophic cardiomyopathy patients and relatives.;Human mutation;4;4,65E+12
6;2009-01-01T00:00:00.000Z;19035361;rs138218523;Not available;Not available;Not available;Diagnostic yield, interpretation, and clinical utility of mutation screening of sarcomere encoding genes in Danish hypertrophic cardiomyopathy patients and relatives.;Human mutation;4;4,65E+12
7;2009-01-01T00:00:00.000Z;19035361;rs141121678;Not available;Not available;Not available;Diagnostic yield, interpretation, and clinical utility of mutation screening of sarcomere encoding genes in Danish hypertrophic cardiomyopathy patients and relatives.;Human mutation;4;4,65E+12
8;2009-01-01T00:00:00.000Z;19419905;rs199472837;Not available;Not available;Not available;Adrenergic regulation of the rapid component of delayed rectifier K+ current: implications for arrhythmogenesis in LQT2 patients.;Heart rhythm;4;4,65E+12
9;2009-01-01T00:00:00.000Z;19419905;rs199472932;Not available;Not available;Not available;Adrenergic regulation of the rapid component of delayed rectifier K+ current: implications for arrhythmogenesis in LQT2 patients.;Heart rhythm;4;4,65E+12
10;2009-01-01T00:00:00.000Z;19875404;rs142000963;Not available;Not available;Not available;The role of Lamin A/C mutations in Danish patients with idiopathic dilated cardiomyopathy.;European journal of heart failure;4;4,65E+12
11;2009-01-01T00:00:00.000Z;19875404;rs267607554;Not available;Not available;Not available;The role of Lamin A/C mutations in Danish patients with idiopathic dilated cardiomyopathy.;European journal of heart failure;4;4,65E+12
12;2009-01-01T00:00:00.000Z;19875404;rs267607618;Not available;Not available;Not available;The role of Lamin A/C mutations in Danish patients with idiopathic dilated cardiomyopathy.;European journal of heart failure;4;4,65E+12
13;2009-01-01T00:00:00.000Z;19808498;rs120074193;Not available;Not available;Not available;Biophysical properties of 9 KCNQ1 mutations associated with long-QT syndrome.;Circulation. Arrhythmia and electrophysiology;4;4,65E+12
14;2009-01-01T00:00:00.000Z;19808498;rs193922365;Not available;Not available;Not available;Biophysical properties of 9 KCNQ1 mutations associated with long-QT syndrome.;Circulation. Arrhythmia and electrophysiology;4;4,65E+12
15;2009-01-01T00:00:00.000Z;19808498;rs199472724;Not available;Not available;Not available;Biophysical properties of 9 KCNQ1 mutations associated with long-QT syndrome.;Circulation. Arrhythmia and electrophysiology;4;4,65E+12
16;2009-01-01T00:00:00.000Z;19808498;rs199472749;Not available;Not available;Not available;Biophysical properties of 9 KCNQ1 mutations associated with long-QT syndrome.;Circulation. Arrhythmia and electrophysiology;4;4,65E+12
17;2009-01-01T00:00:00.000Z;19808498;rs199472759;Not available;Not available;Not available;Biophysical properties of 9 KCNQ1 mutations associated with long-QT syndrome.;Circulation. Arrhythmia and electrophysiology;4;4,65E+12
18;2009-01-01T00:00:00.000Z;19808498;rs199473406;Not available;Not available;Not available;Biophysical properties of 9 KCNQ1 mutations associated with long-QT syndrome.;Circulation. Arrhythmia and electrophysiology;4;4,65E+12
19;2009-01-01T00:00:00.000Z;19808498;rs199473476;Not available;Not available;Not available;Biophysical properties of 9 KCNQ1 mutations associated with long-QT syndrome.;Circulation. Arrhythmia and electrophysiology;4;4,65E+12
20;2009-01-01T00:00:00.000Z;19808498;rs199473480;Not available;Not available;Not available;Biophysical properties of 9 KCNQ1 mutations associated with long-QT syndrome.;Circulation. Arrhythmia and electrophysiology;4;4,65E+12
21;2009-01-01T00:00:00.000Z;19808498;rs199473671;Not available;Not available;Not available;Biophysical properties of 9 KCNQ1 mutations associated with long-QT syndrome.;Circulation. Arrhythmia and electrophysiology;4;4,65E+12
22;2009-01-01T00:00:00.000Z;19963597;rs165935;Not available;Not available;Not available;Visual exploration of genetic association with voxel-based imaging phenotypes in an MCI/AD study.;Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference;4;4,65E+12
