row_number;phenotype;db_variation_id;phenotype_category;category;phenotype_id
1;Dilated cardiomyopathy 1G;rs1060500392;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
2;Dilated cardiomyopathy 1G;rs1060500563;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
3;Dilated cardiomyopathy 1G;rs1060503926;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4;Dilated cardiomyopathy 1G;rs1243794346;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
5;Dilated cardiomyopathy 1O;rs1322335430;Dilated cardiomyopathy;Cardiomyopathies;7,30E+11
6;Dilated cardiomyopathy 1G;rs1334781459;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
7;Dilated cardiomyopathy 1AA;rs1341864;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
8;Dilated cardiomyopathy 1G;rs192962624;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
9;Dilated cardiomyopathy 1CC;rs199738750;Dilated cardiomyopathy;Cardiomyopathies;1,25E+12
10;Dilated cardiomyopathy 1G;rs200028088;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
11;Dilated cardiomyopathy with woolly hair and keratoderma;rs200243976;Dilated cardiomyopathy;Cardiomyopathies;4,12E+11
12;Dilated cardiomyopathy 1G;rs201505306;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
13;Dilated cardiomyopathy 1G;rs369245991;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
14;Dilated cardiomyopathy 1Z;rs370426309;Dilated cardiomyopathy;Cardiomyopathies;9,62E+11
15;Dilated cardiomyopathy 1G;rs371062603;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
16;Dilated cardiomyopathy with woolly hair and keratoderma;rs374100807;Dilated cardiomyopathy;Cardiomyopathies;4,12E+11
17;Dilated cardiomyopathy 1G;rs377391143;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
18;Dilated cardiomyopathy 1DD;rs529403382;Dilated cardiomyopathy;Cardiomyopathies;1,02E+12
19;Dilated cardiomyopathy 1G;rs559712998;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
20;Dilated cardiomyopathy 3B;rs71860126;Dilated cardiomyopathy;Cardiomyopathies;5,58E+11
21;Dilated cardiomyopathy 1G;rs72648203;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
22;Dilated cardiomyopathy 1G;rs72648229;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
23;Primary dilated cardiomyopathy;rs730880086;Dilated cardiomyopathy;Cardiomyopathies;4,04E+11
24;Dilated cardiomyopathy 1G;rs747459623;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
25;Dilated cardiomyopathy 1G;rs748517132;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
26;Dilated cardiomyopathy 1G;rs759091835;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
27;Dilated cardiomyopathy 1G;rs760858743;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
28;Dilated cardiomyopathy 1G;rs762145326;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
29;Dilated cardiomyopathy 1CC;rs765385072;Dilated cardiomyopathy;Cardiomyopathies;1,25E+12
30;Dilated cardiomyopathy 1G;rs767524348;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
31;Dilated cardiomyopathy 1G;rs769466475;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
32;Dilated cardiomyopathy 1G;rs773592810;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
33;Dilated cardiomyopathy 1G;rs779064962;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
34;Dilated cardiomyopathy 1G;rs876658080;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
35;Dilated cardiomyopathy 1G;rs886039181;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
36;Hypertrophic cardiomyopathy;rs115658240;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
37;Hypertrophic cardiomyopathy;rs117502839;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
38;Primary familial hypertrophic cardiomyopathy;rs121913628;Hypertrophic cardiomyopathy;Cardiomyopathies;2,23E+11
39;Familial hypertrophic cardiomyopathy 14;rs138419275;Hypertrophic cardiomyopathy;Cardiomyopathies;7,82E+11
40;Primary familial hypertrophic cardiomyopathy;rs142437308;Hypertrophic cardiomyopathy;Cardiomyopathies;2,23E+11
41;Hypertrophic cardiomyopathy;rs149125238;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
42;Primary familial hypertrophic cardiomyopathy;rs193922383;Hypertrophic cardiomyopathy;Cardiomyopathies;2,23E+11
43;Familial hypertrophic cardiomyopathy 14;rs193922652;Hypertrophic cardiomyopathy;Cardiomyopathies;7,82E+11
44;Hypertrophic cardiomyopathy;rs34855944;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
45;Hypertrophic cardiomyopathy;rs369883442;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
46;Hypertrophic cardiomyopathy;rs372528823;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
47;Hypertrophic cardiomyopathy;rs3729836;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
48;Familial hypertrophic cardiomyopathy 10;rs3833910;Hypertrophic cardiomyopathy;Cardiomyopathies;4,98E+11
